Above Median															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	1.283	1.629*	-0.344**	0.014*	0.094	-0.480	-0.871***	-0.003	0.045	0.005	-0.003	-0.047	-4.758	0.000	0.000
	[0.805]	[0.867]	[0.151]	[0.007]	[0.189]	[0.336]	[0.271]	[0.105]	[0.046]	[0.013]	[0.024]	[0.050]	[19.024]	[0.000]	[0.000]
															
Observations	3,943	3,943	3,943	3,943	3,943	3,942	3,942	3,943	3,943	3,943	3,943	3,943	3,943	3,943	3,943
R-squared	0.007	0.009	0.001	0.001	0.000	0.002	0.006	0.000	0.001	0.000	0.000	0.002	0.000		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
