1900-1920															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	1.022	1.535**	-0.529***	0.012*	0.231	-0.357	-0.869***	0.011	0.017	-0.002	0.001	-0.016	-37.725**	0.000	0.000
	[0.717]	[0.608]	[0.188]	[0.007]	[0.147]	[0.257]	[0.193]	[0.076]	[0.040]	[0.014]	[0.021]	[0.048]	[15.132]	[0.000]	[0.000]
															
Observations	6,799	6,799	6,799	6,799	6,799	6,798	6,798	6,799	6,799	6,799	6,799	6,799	6,799	6,799	6,799
R-squared	0.005	0.010	0.002	0.001	0.002	0.001	0.006	0.000	0.000	0.000	0.000	0.000	0.001		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
