Not Urban															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	-0.365	0.493	-0.844***	0.023*	-0.228*	-1.080***	-0.756***	0.030	-0.014	-0.023*	-0.036	0.073	-35.874	0.000	0.000
	[0.881]	[0.925]	[0.221]	[0.013]	[0.133]	[0.358]	[0.280]	[0.101]	[0.045]	[0.013]	[0.025]	[0.047]	[24.098]	[0.000]	[0.000]
															
Observations	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577	3,577
R-squared	0.001	0.001	0.005	0.002	0.001	0.007	0.005	0.000	0.000	0.004	0.001	0.003	0.001		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
