Less than 10															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	0.765	0.812	-0.050	0.012*	0.233	-0.019	-0.356*	-0.004	0.011	0.006	0.025	-0.042	-16.849	0.000	0.000
	[0.791]	[0.712]	[0.184]	[0.006]	[0.164]	[0.313]	[0.185]	[0.070]	[0.051]	[0.018]	[0.030]	[0.064]	[11.167]	[0.000]	[0.000]
															
Observations	5,203	5,203	5,203	5,203	5,203	5,202	5,202	5,203	5,203	5,203	5,203	5,203	5,203	5,203	5,203
R-squared	0.002	0.002	0.000	0.001	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.001	0.000		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
