less than 14															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	0.950	1.295	-0.347**	0.013**	0.214	-0.288	-0.705***	-0.017	0.020	0.000	0.021	-0.041	-23.762*	0.000	0.000
	[0.794]	[0.799]	[0.153]	[0.006]	[0.138]	[0.257]	[0.158]	[0.080]	[0.044]	[0.015]	[0.025]	[0.054]	[12.825]	[0.000]	[0.000]
															
Observations	7,409	7,409	7,409	7,409	7,409	7,408	7,408	7,409	7,409	7,409	7,409	7,409	7,409	7,409	7,409
R-squared	0.004	0.005	0.001	0.001	0.001	0.001	0.004	0.000	0.000	0.000	0.000	0.001	0.001		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
