Determinants of generosity--full controls						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	full accepted	matched accepted	full logamount	matched logamount	full logdur	matched logdur
						
BY18	0.0424	0.0265	0.243*	0.106	-0.00795	-0.168
	[0.082]	[0.090]	[0.134]	[0.123]	[0.256]	[0.349]
BY19	0.0249	0.0163	0.255*	0.110	-0.119	-0.184
	[0.084]	[0.090]	[0.142]	[0.130]	[0.250]	[0.358]
BY20	0.0252	0.0245	0.236	0.0732	-0.0194	-0.123
	[0.086]	[0.098]	[0.149]	[0.139]	[0.285]	[0.414]
BY21	0.0203	0.00170	0.225	0.0668	-0.0874	-0.0971
	[0.092]	[0.101]	[0.158]	[0.145]	[0.278]	[0.367]
BY22	0.0149	0.0236	0.187	0.00340	-0.0345	-0.113
	[0.095]	[0.102]	[0.162]	[0.153]	[0.276]	[0.389]
BY23	-0.0178	-0.0470	0.200	0.00562	-0.109	-0.253
	[0.102]	[0.110]	[0.171]	[0.159]	[0.289]	[0.404]
BY24	-0.00155	0.00340	0.153	-0.0224	-0.108	-0.297
	[0.105]	[0.109]	[0.180]	[0.167]	[0.292]	[0.392]
BY25	-0.0247	-0.0611	0.203	0.000385	-0.145	-0.287
	[0.109]	[0.118]	[0.184]	[0.178]	[0.278]	[0.386]
BY26	-0.0215	-0.0587	0.196	0.0271	-0.396	-0.501
	[0.119]	[0.125]	[0.187]	[0.183]	[0.310]	[0.463]
Constant	0.196	0.320	-4.667**	-5.956**	-4.473	-1.108
	[0.637]	[0.788]	[2.313]	[2.604]	[3.835]	[4.207]
						
Observations	16,068	7,859	13,787	6,820	6,868	3,677
R-squared	0.125	0.144	0.780	0.786	0.219	0.234
Mean	0.865	0.875	5.509	5.508	1.306	1.340
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.1						
