Urban															
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches
															
accepted	2.047*	2.257*	-0.223	0.002	0.598***	0.253	-0.816***	0.001	0.049	0.022	0.061*	-0.132	-36.276**	0.000	0.000
	[1.086]	[1.090]	[0.181]	[0.002]	[0.140]	[0.149]	[0.218]	[0.118]	[0.076]	[0.017]	[0.034]	[0.088]	[13.999]	[0.000]	[0.000]
															
Observations	4,283	4,283	4,283	4,283	4,283	4,282	4,282	4,283	4,283	4,283	4,283	4,283	4,283	4,283	4,283
R-squared	0.017	0.015	0.000	0.000	0.011	0.000	0.005	0.000	0.001	0.001	0.002	0.010	0.001		
Robust standard errors in brackets															
*** p<0.01, ** p<0.05, * p<0.1															
